date,cname,measure,count
2020-02-03,Sweden,Deaths,NA
2020-02-04,Denmark,Cases,NA
2020-02-04,Denmark,Deaths,NA
2020-02-04,Finland,Cases,1
2020-02-04,Finland,Deaths,NA
2020-02-04,Iceland,Cases,NA
2020-02-04,Iceland,Deaths,NA
2020-02-04,Norway,Cases,NA
2020-02-04,Norway,Deaths,NA
2020-02-04,Sweden,Cases,1
2020-02-04,Sweden,Deaths,NA
2020-02-05,Denmark,Cases,NA
2020-02-05,Denmark,Deaths,NA
2020-02-05,Finland,Cases,1
2020-02-05,Finland,Deaths,NA
2020-02-05,Iceland,Cases,NA
2020-02-05,Iceland,Deaths,NA
2020-02-05,Norway,Cases,NA
2020-02-05,Norway,Deaths,NA
2020-02-05,Sweden,Cases,1
2020-02-05,Sweden,Deaths,NA
2020-02-06,Denmark,Cases,NA
2020-02-06,Denmark,Deaths,NA
2020-02-06,Finland,Cases,1
2020-02-06,Finland,Deaths,NA
2020-02-06,Iceland,Cases,NA
2020-02-06,Iceland,Deaths,NA
2020-02-06,Norway,Cases,NA
2020-02-06,Norway,Deaths,NA
2020-02-06,Sweden,Cases,1
2020-02-06,Sweden,Deaths,NA
2020-02-07,Denmark,Cases,NA
2020-02-07,Denmark,Deaths,NA
2020-02-07,Finland,Cases,1
2020-02-07,Finland,Deaths,NA
2020-02-07,Iceland,Cases,NA
2020-02-07,Iceland,Deaths,NA
2020-02-07,Norway,Cases,NA
2020-02-07,Norway,Deaths,NA
2020-02-07,Sweden,Cases,1
2020-02-07,Sweden,Deaths,NA
2020-02-08,Denmark,Cases,NA
2020-02-08,Denmark,Deaths,NA
2020-02-08,Finland,Cases,1
2020-02-08,Finland,Deaths,NA
2020-02-08,Iceland,Cases,NA
2020-02-08,Iceland,Deaths,NA
2020-02-08,Norway,Cases,NA
2020-02-08,Norway,Deaths,NA
2020-02-08,Sweden,Cases,1
2020-02-08,Sweden,Deaths,NA
2020-02-09,Denmark,Cases,NA
2020-02-09,Denmark,Deaths,NA
