"","date","cname","iso3","records.cases","records.deaths","cu_cases","cu_deaths","days_elapsed","end_label"
"179",2020-03-18,"Italy","ITA",3526,347,31506,2505,21,NA
"180",2020-03-18,"Japan","JPN",5,0,829,28,7,NA
"181",2020-03-18,"Netherlands","NLD",292,19,1705,43,3,NA
"182",2020-03-18,"Philippines","PHL",45,2,187,14,2,NA
"183",2020-03-18,"San Marino","SMR",2,2,104,11,0,NA
"184",2020-03-18,"Korea, Republic of","KOR",93,5,8413,86,21,NA
"185",2020-03-18,"Spain","ESP",1987,182,11178,491,8,NA
"186",2020-03-18,"Switzerland","CHE",450,5,2650,19,3,NA
"187",2020-03-18,"United Kingdom","GBR",407,5,1950,60,5,NA
"188",2020-03-18,"USA","USA",1766,23,6427,108,13,NA
"189",2020-03-19,"Belgium","BEL",243,9,1486,14,0,NA
"190",2020-03-19,"China","CHN",44,8,81130,3249,57,NA
"191",2020-03-19,"France","FRA",1404,69,9134,244,11,NA
"192",2020-03-19,"Germany","DEU",1042,0,8198,13,3,NA
"193",2020-03-19,"Iran, Islamic Republic of","IRN",1192,147,17361,1135,23,NA
"194",2020-03-19,"Iraq","IRQ",10,1,164,12,1,NA
"195",2020-03-19,"Italy","ITA",4207,473,35713,2978,22,NA
"196",2020-03-19,"Japan","JPN",44,1,873,29,8,NA
"197",2020-03-19,"Netherlands","NLD",346,15,2051,58,4,NA
"198",2020-03-19,"Philippines","PHL",15,3,202,17,3,NA
"199",2020-03-19,"San Marino","SMR",5,3,109,14,1,NA
"200",2020-03-19,"Korea, Republic of","KOR",152,5,8565,91,22,NA
"201",2020-03-19,"Spain","ESP",2538,107,13716,598,9,NA
"202",2020-03-19,"Sweden","SWE",134,2,1301,10,0,NA
"203",2020-03-19,"Switzerland","CHE",360,2,3010,21,4,NA
"204",2020-03-19,"United Kingdom","GBR",680,43,2630,103,6,NA
"205",2020-03-19,"USA","USA",2988,42,9415,150,14,NA
"206",2020-03-20,"Belgium","BEL",309,7,1795,21,1,NA
"207",2020-03-20,"Canada","CAN",156,1,846,10,0,NA
"208",2020-03-20,"China","CHN",99,4,81229,3253,58,NA
"209",2020-03-20,"France","FRA",1861,128,10995,372,12,NA
"210",2020-03-20,"Germany","DEU",5940,30,14138,43,4,NA
"211",2020-03-20,"Indonesia","IDN",55,14,227,19,0,NA
"212",2020-03-20,"Iran, Islamic Republic of","IRN",1046,149,18407,1284,24,NA
"213",2020-03-20,"Iraq","IRQ",13,0,177,12,2,NA
"214",2020-03-20,"Italy","ITA",5322,429,41035,3407,23,NA
"215",2020-03-20,"Japan","JPN",77,4,950,33,9,NA
"216",2020-03-20,"Netherlands","NLD",409,18,2460,76,5,NA
"217",2020-03-20,"Philippines","PHL",28,1,230,18,4,NA
"218",2020-03-20,"San Marino","SMR",17,0,126,14,2,NA
"219",2020-03-20,"Korea, Republic of","KOR",87,9,8652,100,23,NA
"220",2020-03-20,"Spain","ESP",3431,169,17147,767,10,NA
"221",2020-03-20,"Sweden","SWE",122,0,1423,10,1,NA
"222",2020-03-20,"Switzerland","CHE",878,12,3888,33,5,NA
"223",2020-03-20,"United Kingdom","GBR",647,41,3277,144,7,NA
"224",2020-03-20,"USA","USA",4835,0,14250,150,15,NA
"225",2020-03-21,"Algeria","DZA",12,3,94,10,0,NA
"226",2020-03-21,"Belgium","BEL",462,16,2257,37,2,NA
"227",2020-03-21,"Brazil","BRA",283,5,904,11,0,NA
"228",2020-03-21,"Canada","CAN",125,2,971,12,1,NA
"229",2020-03-21,"China","CHN",52,6,81281,3259,59,NA
"230",2020-03-21,"France","FRA",1617,78,12612,450,13,NA
"231",2020-03-21,"Germany","DEU",4049,2,18187,45,5,NA
"232",2020-03-21,"Indonesia","IDN",82,6,309,25,1,NA
"233",2020-03-21,"Iran, Islamic Republic of","IRN",1237,149,19644,1433,25,NA
"234",2020-03-21,"Iraq","IRQ",16,2,193,14,3,NA
"235",2020-03-21,"Italy","ITA",5986,625,47021,4032,24,NA
"236",2020-03-21,"Japan","JPN",57,2,1007,35,10,NA
"237",2020-03-21,"Netherlands","NLD",534,30,2994,106,6,NA
"238",2020-03-21,"Philippines","PHL",0,0,230,18,5,NA
"239",2020-03-21,"San Marino","SMR",25,0,151,14,3,NA
"240",2020-03-21,"Korea, Republic of","KOR",147,3,8799,103,24,NA
"241",2020-03-21,"Spain","ESP",2833,235,19980,1002,11,NA
"242",2020-03-21,"Sweden","SWE",200,6,1623,16,2,NA
"243",2020-03-21,"Switzerland","CHE",952,10,4840,43,6,NA
