records.dateRep,records.day,records.month,records.year,records.cases,records.deaths,records.countriesAndTerritories,records.geoId,records.countryterritoryCode,records.popData2018,date,iso2,iso3,cname
09/03/2020,9,3,2020,3,0,Algeria,DZ,DZA,42228429,2020-03-09,DZ,DZA,Algeria
06/03/2020,6,3,2020,5,0,Algeria,DZ,DZA,42228429,2020-03-06,DZ,DZA,Algeria
05/03/2020,5,3,2020,7,0,Algeria,DZ,DZA,42228429,2020-03-05,DZ,DZA,Algeria
04/03/2020,4,3,2020,2,0,Algeria,DZ,DZA,42228429,2020-03-04,DZ,DZA,Algeria
02/03/2020,2,3,2020,2,0,Algeria,DZ,DZA,42228429,2020-03-02,DZ,DZA,Algeria
01/03/2020,1,3,2020,0,0,Algeria,DZ,DZA,42228429,2020-03-01,DZ,DZA,Algeria
29/02/2020,29,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-29,DZ,DZA,Algeria
28/02/2020,28,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-28,DZ,DZA,Algeria
27/02/2020,27,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-27,DZ,DZA,Algeria
26/02/2020,26,2,2020,1,0,Algeria,DZ,DZA,42228429,2020-02-26,DZ,DZA,Algeria
25/02/2020,25,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-25,DZ,DZA,Algeria
24/02/2020,24,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-24,DZ,DZA,Algeria
23/02/2020,23,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-23,DZ,DZA,Algeria
22/02/2020,22,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-22,DZ,DZA,Algeria
21/02/2020,21,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-21,DZ,DZA,Algeria
20/02/2020,20,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-20,DZ,DZA,Algeria
19/02/2020,19,2,2020,0,0,Algeria,DZ,DZA,42228429,2020-02-19,DZ,DZA,Algeria
